Condition,Total_Cost,Avg_Cost,Claim_Count,Member_Count,Chronic_Rate
Oncology,498716237.15,16331.005211539721,30538,12570,1.0
Cardiovascular,173883660.9,6659.91270826152,26109,10608,1.0
Musculoskeletal,122845253.0,2836.0248637916707,43316,16619,1.0
General Surgery,79844243.02,5925.361263079777,13475,6883,0.0
Gastroenterology,69357670.15,3746.4306244260792,18513,8844,1.0
Preventive,44420516.83,2030.4665552863737,21877,10500,0.5011198976093614
Mental Health,39134994.17,2282.3230985011955,17147,8711,1.0
Endocrine,35188283.5,3718.1195583262893,9464,5027,1.0
Ophthalmology,28377480.98,3972.21178331467,7144,4145,0.0
General,22885159.96,3740.6276495586794,6118,3687,1.0
Respiratory,22869243.55,3630.614946816955,6299,3780,1.0
